Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
2018-08-06,208,12,3,FR3,73,WT,,
2018-08-07,132,11,4,FR3,73,WT,,
2018-08-08,180,14,1,FR5,73,WT,,
2018-08-09,240,11,2,FR5,73,WT,,
2018-08-10,266,18,3,FR5,73,WT,,
2018-08-13,290,6,4,FR5,73,WT,,
2018-08-14,92,3,1,FR5 DEVAL,73,WT,,
2018-08-15,215,11,5,FR5,73,WT,,
2018-08-16,315,7,6,FR5,73,WT,,
2018-08-17,68,6,2,FR5 DEVAL,73,WT,,
2018-08-20,353,9,7,FR5,73,WT,,
2018-08-21,335,10,8,FR5,73,WT,,
2018-08-22,424,7,9,FR5,73,WT,,
2018-08-23,390,11,10,FR5,73,WT,,
2018-08-24,306,8,11,FR5,73,WT,,
2018-08-27,325,11,12,FR5,73,WT,,
2018-08-28,534,24,1,PR 2HR,73,WT,,
2018-08-29,245,14,13,FR5,73,WT,,
2018-08-30,474,30,2,PR 2HR,73,WT,,
2018-08-31,462,8,14,FR5,73,WT,,
2018-09-03,440,5,15,FR5,73,WT,,
2018-09-04,631,16,3,PR 2HR,73,WT,,
2018-09-05,495,15,16,FR5,73,WT,,
2018-09-06,705,31,1,PR DL/FR5 DL,73,WT,,
2018-09-07,475,14,2,FR5 DL/PR DL,73,WT,,
2018-09-10,445,15,17,FR5,73,WT,,
2018-09-11,789,21,1,PR 2HR + ATO,73,WT,ATO,1
2018-09-12,440,11,18,FR5,73,WT,,
2018-09-13,885,30,4,PR 2HR,73,WT,,
2018-09-14,342,11,19,FR5,73,WT,,
2018-09-17,405,6,20,FR5,73,WT,,
2018-09-18,668,24,2,PR 2HR + ATO,73,WT,Saline,0
2018-09-19,395,4,21,FR5,73,WT,,
2018-09-20,723,64,5,PR 2HR,73,WT,,
2018-09-21,415,64,22,FR5,73,WT,,
2018-09-24,490,55,23,FR5,73,WT,,
2018-09-25,536,83,3,PR 2HR + ATO,73,WT,ATO,3
2018-07-23,16,0,1,FR1 SL,85,WT,,
2018-07-24,30,0,2,FR1 SL,85,WT,,
2018-07-25,37,0,3,FR1 SL,85,WT,,
2018-07-26,70,0,4,FR1 SL,85,WT,,
2018-07-27,130,6,1,FR1 DL,85,WT,,
2018-07-30,127,11,2,FR1 DL,85,WT,,
2018-07-31,161,6,3,FR1 DL,85,WT,,
2018-08-01,206,5,4,FR1 DL,85,WT,,
2018-08-02,298,4,1,FR3,85,WT,,
2018-08-03,232,10,2,FR3,85,WT,,
2018-08-06,243,5,3,FR3,85,WT,,
2018-08-07,299,6,4,FR3,85,WT,,
2018-08-08,423,3,1,FR5,85,WT,,
2018-08-09,345,6,2,FR5,85,WT,,
2018-08-10,411,5,3,FR5,85,WT,,
2018-08-13,446,4,4,FR5,85,WT,,
2018-08-14,91,2,1,FR5 DEVAL,85,WT,,
2018-08-15,336,6,5,FR5,85,WT,,
2018-08-16,386,5,6,FR5,85,WT,,
2018-08-17,101,1,2,FR5 DEVAL,85,WT,,
2018-08-20,359,11,7,FR5,85,WT,,
2018-08-21,385,8,8,FR5,85,WT,,
2018-08-22,384,6,9,FR5,85,WT,,
2018-08-23,311,3,10,FR5,85,WT,,
2018-08-24,314,3,11,FR5,85,WT,,
2018-08-27,383,4,12,FR5,85,WT,,
2018-08-28,1011,20,1,PR 2HR,85,WT,,
2018-08-29,301,3,13,FR5,85,WT,,
2018-08-30,1026,27,2,PR 2HR,85,WT,,
2018-08-31,376,7,14,FR5,85,WT,,
2018-09-03,342,9,15,FR5,85,WT,,
2018-09-04,716,19,3,PR 2HR,85,WT,,
2018-09-05,230,6,16,FR5,85,WT,,
2018-09-06,701,19,1,PR DL/FR5 DL,85,WT,,
2018-09-07,415,10,2,FR5 DL/PR DL,85,WT,,
2018-09-10,500,7,17,FR5,85,WT,,
2018-09-11,702,9,1,PR 2HR + ATO,85,WT,ATO,1
2018-09-12,472,11,18,FR5,85,WT,,
2018-09-13,1189,20,4,PR 2HR,85,WT,,
2018-09-14,378,4,19,FR5,85,WT,,
2018-09-17,385,4,20,FR5,85,WT,,
2018-09-18,951,11,2,PR 2HR + ATO,85,WT,Saline,0
2018-09-19,352,11,21,FR5,85,WT,,
2018-09-20,1088,43,5,PR 2HR,85,WT,,
2018-09-21,316,10,22,FR5,85,WT,,
2018-09-24,328,7,23,FR5,85,WT,,
2018-09-25,647,15,3,PR 2HR + ATO,85,WT,ATO,3
2018-07-23,11,0,1,FR1 SL,60,WT,,
2018-07-24,16,0,2,FR1 SL,60,WT,,
2018-07-25,74,0,3,FR1 SL,60,WT,,
2018-07-26,84,0,4,FR1 SL,60,WT,,
2018-07-27,92,32,1,FR1 DL,60,WT,,
2018-07-30,48,16,2,FR1 DL,60,WT,,
2018-07-31,87,14,3,FR1 DL,60,WT,,
2018-08-01,94,13,4,FR1 DL,60,WT,,
2018-08-02,191,19,1,FR3,60,WT,,
2018-08-03,201,7,2,FR3,60,WT,,
2018-08-06,176,12,3,FR3,60,WT,,
2018-08-07,144,5,4,FR3,60,WT,,
2018-08-08,186,8,1,FR5,60,WT,,
2018-08-09,235,7,2,FR5,60,WT,,
2018-08-10,210,1,3,FR5,60,WT,,
2018-08-13,156,4,4,FR5,60,WT,,
2018-08-14,40,1,1,FR5 DEVAL,60,WT,,
2018-08-15,190,10,5,FR5,60,WT,,
2018-08-16,154,8,6,FR5,60,WT,,
2018-08-17,37,7,2,FR5 DEVAL,60,WT,,
2018-08-20,121,10,7,FR5,60,WT,,
2018-08-21,245,4,8,FR5,60,WT,,
2018-08-22,294,6,9,FR5,60,WT,,
2018-08-23,257,11,10,FR5,60,WT,,
2018-08-24,416,7,11,FR5,60,WT,,
2018-08-27,265,4,12,FR5,60,WT,,
2018-08-28,595,14,1,PR 2HR,60,WT,,
2018-08-29,260,13,13,FR5,60,WT,,
2018-08-30,628,31,2,PR 2HR,60,WT,,
2018-08-31,345,10,14,FR5,60,WT,,
2018-09-03,356,2,15,FR5,60,WT,,
2018-09-04,528,25,3,PR 2HR,60,WT,,
